queryName,run,average
Query1,1,22510
Query1,2,5342
Query1,3,5414
Query1,4,5441
Query1,5,5192
Query1,6,5350
Query1,7,5235
Query1,8,5296
Query1,9,5246
Query1,10,5225
Query1,11,5326
Query1,12,5254
Query1,13,5197
Query1,14,5300
Query1,15,5235
Query1,16,5201
Query1,17,5161
Query1,18,5129
Query1,19,5297
Query1,20,5352
Query1,21,5138
Query1,22,5169
Query1,23,5375
Query1,24,5154
Query1,25,5232
Query1,26,5340
Query1,27,5188
Query1,28,5205
Query1,29,5200
Query1,30,5220
Query1,31,5281
Query1,32,5278
Query1,33,5127
Query1,34,5190
Query1,35,5192
Query1,36,5198
Query1,37,5308
Query1,38,5203
Query1,39,5397
Query1,40,5099
Query2,1,38146
Query2,2,37794
Query2,3,37846
Query2,4,37428
Query2,5,37181
Query2,6,37036
Query2,7,37264
Query2,8,37236
Query2,9,37588
Query2,10,37726
Query2,11,37642
Query2,12,37095
Query2,13,37277
Query2,14,37867
Query2,15,37543
Query2,16,37260
Query2,17,38316
Query2,18,37451
Query2,19,37621
Query2,20,37631
Query2,21,37637
Query2,22,37635
Query2,23,37928
Query2,24,37344
Query2,25,37560
Query2,26,37515
Query2,27,37422
Query2,28,37560
Query2,29,37859
Query2,30,37637
Query2,31,37517
Query2,32,37149
Query2,33,37705
Query2,34,37903
Query2,35,37856
Query2,36,37365
Query2,37,37463
Query2,38,37606
Query2,39,37722
Query2,40,38068
Query3,1,8578
Query3,2,8257
Query3,3,7850
Query3,4,8096
Query3,5,7978
Query3,6,8156
Query3,7,7851
Query3,8,7958
Query3,9,7929
Query3,10,7967
Query3,11,7971
Query3,12,7948
Query3,13,7900
Query3,14,8042
Query3,15,8018
Query3,16,7860
Query3,17,7988
Query3,18,7976
Query3,19,8050
Query3,20,7922
Query3,21,7893
Query3,22,7880
Query3,23,7937
Query3,24,7859
Query3,25,7994
Query3,26,7811
Query3,27,7878
Query3,28,7896
Query3,29,7900
Query3,30,7949
Query3,31,8298
Query3,32,8340
Query3,33,7873
Query3,34,7854
Query3,35,7949
Query3,36,7931
Query3,37,7936
Query3,38,7906
Query3,39,7844
Query3,40,8513
QuerySQL1,1,1976
QuerySQL1,2,1109
QuerySQL1,3,1083
QuerySQL1,4,1269
QuerySQL1,5,1155
QuerySQL1,6,1071
QuerySQL1,7,1172
QuerySQL1,8,1163
QuerySQL1,9,1160
QuerySQL1,10,1114
QuerySQL1,11,1188
QuerySQL1,12,1245
QuerySQL1,13,1176
QuerySQL1,14,1145
QuerySQL1,15,1224
QuerySQL1,16,1127
QuerySQL1,17,1178
QuerySQL1,18,1124
QuerySQL1,19,1101
QuerySQL1,20,1119
QuerySQL1,21,1125
QuerySQL1,22,1127
QuerySQL1,23,1116
QuerySQL1,24,1135
QuerySQL1,25,1134
QuerySQL1,26,1165
QuerySQL1,27,1088
QuerySQL1,28,1099
QuerySQL1,29,1109
QuerySQL1,30,1131
QuerySQL1,31,1102
QuerySQL1,32,1102
QuerySQL1,33,1106
QuerySQL1,34,1095
QuerySQL1,35,1091
QuerySQL1,36,1128
QuerySQL1,37,1077
QuerySQL1,38,1097
QuerySQL1,39,1197
QuerySQL1,40,1112
QuerySQL2,1,11809
QuerySQL2,2,10495
QuerySQL2,3,10906
QuerySQL2,4,10065
QuerySQL2,5,10178
QuerySQL2,6,9918
QuerySQL2,7,10018
QuerySQL2,8,10100
QuerySQL2,9,9961
QuerySQL2,10,10013
QuerySQL2,11,10021
QuerySQL2,12,10178
QuerySQL2,13,9980
QuerySQL2,14,10012
QuerySQL2,15,10694
QuerySQL2,16,10022
QuerySQL2,17,9963
QuerySQL2,18,10108
QuerySQL2,19,10011
QuerySQL2,20,10042
QuerySQL2,21,10145
QuerySQL2,22,10047
QuerySQL2,23,9953
QuerySQL2,24,10082
QuerySQL2,25,9960
QuerySQL2,26,10168
QuerySQL2,27,9888
QuerySQL2,28,9961
QuerySQL2,29,10222
QuerySQL2,30,9858
QuerySQL2,31,10009
QuerySQL2,32,11504
QuerySQL2,33,10148
QuerySQL2,34,10209
QuerySQL2,35,10093
QuerySQL2,36,10071
QuerySQL2,37,10070
QuerySQL2,38,10172
QuerySQL2,39,9911
QuerySQL2,40,9919
QuerySQL3,1,2798
QuerySQL3,2,2146
QuerySQL3,3,2113
QuerySQL3,4,2504
QuerySQL3,5,2408
QuerySQL3,6,2487
QuerySQL3,7,2324
QuerySQL3,8,2181
QuerySQL3,9,2435
QuerySQL3,10,2362
QuerySQL3,11,2415
QuerySQL3,12,2425
QuerySQL3,13,2340
QuerySQL3,14,2277
QuerySQL3,15,2240
QuerySQL3,16,2252
QuerySQL3,17,2266
QuerySQL3,18,2209
QuerySQL3,19,2068
QuerySQL3,20,2306
QuerySQL3,21,2409
QuerySQL3,22,2511
QuerySQL3,23,2540
QuerySQL3,24,2409
QuerySQL3,25,2449
QuerySQL3,26,2367
QuerySQL3,27,2475
QuerySQL3,28,2495
QuerySQL3,29,2486
QuerySQL3,30,2604
QuerySQL3,31,2509
QuerySQL3,32,2504
QuerySQL3,33,2402
QuerySQL3,34,2381
QuerySQL3,35,2243
QuerySQL3,36,2295
QuerySQL3,37,2269
QuerySQL3,38,2395
QuerySQL3,39,2262
QuerySQL3,40,2141
