queryName,run,average
Query1,1,72574
Query1,2,58547
Query1,3,57665
Query1,4,57931
Query1,5,58302
Query1,6,58205
Query1,7,59360
Query1,8,59302
Query1,9,56853
Query1,10,59006
Query2,1,96749
Query2,2,94307
Query2,3,94803
Query2,4,91483
Query2,5,92172
Query2,6,93056
Query2,7,89997
Query2,8,90757
Query2,9,88111
Query2,10,95261
Query3,1,65508
Query3,2,67368
Query3,3,65050
Query3,4,64369
Query3,5,61929
Query3,6,64021
Query3,7,62820
Query3,8,63849
Query3,9,62663
Query3,10,63198
QuerySQL1,1,57694
QuerySQL1,2,52934
QuerySQL1,3,52385
QuerySQL1,4,59046
QuerySQL1,5,52722
QuerySQL1,6,56929
QuerySQL1,7,57196
QuerySQL1,8,55848
QuerySQL1,9,53864
QuerySQL1,10,57767
QuerySQL2,1,75842
QuerySQL2,2,72793
QuerySQL2,3,67679
QuerySQL2,4,65432
QuerySQL2,5,63398
QuerySQL2,6,64624
QuerySQL2,7,69607
QuerySQL2,8,68299
QuerySQL2,9,66819
QuerySQL2,10,65469
QuerySQL3,1,62324
QuerySQL3,2,62533
QuerySQL3,3,59649
QuerySQL3,4,62393
QuerySQL3,5,57930
QuerySQL3,6,61572
QuerySQL3,7,60386
QuerySQL3,8,60585
QuerySQL3,9,60587
QuerySQL3,10,59377
