queryName,run,average
Query1,1,33644
Query1,2,6094
Query1,3,7264
Query1,4,5607
Query1,5,5810
Query1,6,5580
Query1,7,5807
Query1,8,5745
Query1,9,5382
Query1,10,5745
Query1,11,5470
Query1,12,5584
Query1,13,5654
Query1,14,5303
Query1,15,5785
Query1,16,5763
Query1,17,5711
Query1,18,5643
Query1,19,5598
Query1,20,5543
Query1,21,5316
Query1,22,5601
Query1,23,5332
Query1,24,5693
Query1,25,5776
Query1,26,6008
Query1,27,5991
Query1,28,5884
Query1,29,5664
Query1,30,5709
Query1,31,5722
Query1,32,5595
Query1,33,6094
Query1,34,5527
Query1,35,5370
Query1,36,5504
Query1,37,5313
Query1,38,5686
Query1,39,5248
Query1,40,5830
Query2,1,38740
Query2,2,39036
Query2,3,40730
Query2,4,43362
Query2,5,39168
Query2,6,38868
Query2,7,40939
Query2,8,41011
Query2,9,38933
Query2,10,38673
Query2,11,40901
Query2,12,38630
Query2,13,38879
Query2,14,41667
Query2,15,38656
Query2,16,40851
Query2,17,39092
Query2,18,38824
Query2,19,38271
Query2,20,38397
Query2,21,39068
Query2,22,38483
Query2,23,38308
Query2,24,38353
Query2,25,39214
Query2,26,38367
Query2,27,38712
Query2,28,38213
Query2,29,38636
Query2,30,38890
Query2,31,38455
Query2,32,41138
Query2,33,38422
Query2,34,40870
Query2,35,38510
Query2,36,38237
Query2,37,42003
Query2,38,38574
Query2,39,38435
Query2,40,38456
Query3,1,9020
Query3,2,8343
Query3,3,8442
Query3,4,8664
Query3,5,8446
Query3,6,8255
Query3,7,8005
Query3,8,8290
Query3,9,8238
Query3,10,8079
Query3,11,8248
Query3,12,7932
Query3,13,8304
Query3,14,8093
Query3,15,8310
Query3,16,8148
Query3,17,8228
Query3,18,8222
Query3,19,8511
Query3,20,8169
Query3,21,8103
Query3,22,8247
Query3,23,8115
Query3,24,8103
Query3,25,8574
Query3,26,8154
Query3,27,8416
Query3,28,8010
Query3,29,8023
Query3,30,7959
Query3,31,8169
Query3,32,7916
Query3,33,8177
Query3,34,7992
Query3,35,8113
Query3,36,8007
Query3,37,8117
Query3,38,8330
Query3,39,8692
Query3,40,8246
QuerySQL1,1,3864
QuerySQL1,2,1212
QuerySQL1,3,1213
QuerySQL1,4,1410
QuerySQL1,5,1170
QuerySQL1,6,1216
QuerySQL1,7,1317
QuerySQL1,8,1171
QuerySQL1,9,1226
QuerySQL1,10,1214
QuerySQL1,11,1210
QuerySQL1,12,1146
QuerySQL1,13,1123
QuerySQL1,14,1162
QuerySQL1,15,1129
QuerySQL1,16,1190
QuerySQL1,17,1142
QuerySQL1,18,1146
QuerySQL1,19,1151
QuerySQL1,20,1189
QuerySQL1,21,1140
QuerySQL1,22,1119
QuerySQL1,23,1138
QuerySQL1,24,1222
QuerySQL1,25,1094
QuerySQL1,26,1113
QuerySQL1,27,1145
QuerySQL1,28,1147
QuerySQL1,29,1157
QuerySQL1,30,1098
QuerySQL1,31,1119
QuerySQL1,32,1235
QuerySQL1,33,1094
QuerySQL1,34,1491
QuerySQL1,35,1645
QuerySQL1,36,1158
QuerySQL1,37,1123
QuerySQL1,38,1132
QuerySQL1,39,1160
QuerySQL1,40,1109
QuerySQL2,1,10121
QuerySQL2,2,7737
QuerySQL2,3,7219
QuerySQL2,4,7512
QuerySQL2,5,7320
QuerySQL2,6,8349
QuerySQL2,7,22979
QuerySQL2,8,21199
QuerySQL2,9,8528
QuerySQL2,10,7998
QuerySQL2,11,7425
QuerySQL2,12,8672
QuerySQL2,13,14176
QuerySQL2,14,10666
QuerySQL2,15,7091
QuerySQL2,16,7884
QuerySQL2,17,7070
QuerySQL2,18,8140
QuerySQL2,19,8048
QuerySQL2,20,7645
QuerySQL2,21,7309
QuerySQL2,22,6966
QuerySQL2,23,10131
QuerySQL2,24,57069
QuerySQL2,25,8890
QuerySQL2,26,7315
QuerySQL2,27,7813
QuerySQL2,28,7258
QuerySQL2,29,7231
QuerySQL2,30,12142
QuerySQL2,31,11269
QuerySQL2,32,7890
QuerySQL2,33,7012
QuerySQL2,34,11089
QuerySQL2,35,7821
QuerySQL2,36,10089
QuerySQL2,37,33546
QuerySQL2,38,7461
QuerySQL2,39,7605
QuerySQL2,40,8714
QuerySQL3,1,8629
QuerySQL3,2,6611
QuerySQL3,3,2640
QuerySQL3,4,3410
QuerySQL3,5,2201
QuerySQL3,6,2048
QuerySQL3,7,2190
QuerySQL3,8,2142
QuerySQL3,9,2000
QuerySQL3,10,1905
QuerySQL3,11,2103
QuerySQL3,12,2254
QuerySQL3,13,2115
QuerySQL3,14,2136
QuerySQL3,15,2224
QuerySQL3,16,2382
QuerySQL3,17,2866
QuerySQL3,18,2376
QuerySQL3,19,2311
QuerySQL3,20,2295
QuerySQL3,21,2407
QuerySQL3,22,2357
QuerySQL3,23,2269
QuerySQL3,24,2650
QuerySQL3,25,2432
QuerySQL3,26,2444
QuerySQL3,27,49871
QuerySQL3,28,2834
QuerySQL3,29,2513
QuerySQL3,30,2608
QuerySQL3,31,2516
QuerySQL3,32,2447
QuerySQL3,33,2551
QuerySQL3,34,2319
QuerySQL3,35,2346
QuerySQL3,36,2399
QuerySQL3,37,2980
QuerySQL3,38,2423
QuerySQL3,39,2397
QuerySQL3,40,2288
