hour;avgTip;stdDevTip;popPayment;perc_PU1;perc_PU2;perc_PU3;perc_PU4;perc_PU5;perc_PU6;perc_PU7;perc_PU8;perc_PU9;perc_PU10;perc_PU11;perc_PU12;perc_PU13;perc_PU14;perc_PU15;perc_PU16;perc_PU17;perc_PU18;perc_PU19;perc_PU20;perc_PU21;perc_PU22;perc_PU23;perc_PU24;perc_PU25;perc_PU26;perc_PU27;perc_PU28;perc_PU29;perc_PU30;perc_PU31;perc_PU32;perc_PU33;perc_PU34;perc_PU35;perc_PU36;perc_PU37;perc_PU38;perc_PU39;perc_PU40;perc_PU41;perc_PU42;perc_PU43;perc_PU44;perc_PU45;perc_PU46;perc_PU47;perc_PU48;perc_PU49;perc_PU50;perc_PU51;perc_PU52;perc_PU53;perc_PU54;perc_PU55;perc_PU56;perc_PU57;perc_PU58;perc_PU59;perc_PU60;perc_PU61;perc_PU62;perc_PU63;perc_PU64;perc_PU65;perc_PU66;perc_PU67;perc_PU68;perc_PU69;perc_PU70;perc_PU71;perc_PU72;perc_PU73;perc_PU74;perc_PU75;perc_PU76;perc_PU77;perc_PU78;perc_PU79;perc_PU80;perc_PU81;perc_PU82;perc_PU83;perc_PU84;perc_PU85;perc_PU86;perc_PU87;perc_PU88;perc_PU89;perc_PU90;perc_PU91;perc_PU92;perc_PU93;perc_PU94;perc_PU95;perc_PU96;perc_PU97;perc_PU98;perc_PU99;perc_PU100;perc_PU101;perc_PU102;perc_PU103;perc_PU104;perc_PU105;perc_PU106;perc_PU107;perc_PU108;perc_PU109;perc_PU110;perc_PU111;perc_PU112;perc_PU113;perc_PU114;perc_PU115;perc_PU116;perc_PU117;perc_PU118;perc_PU119;perc_PU120;perc_PU121;perc_PU122;perc_PU123;perc_PU124;perc_PU125;perc_PU126;perc_PU127;perc_PU128;perc_PU129;perc_PU130;perc_PU131;perc_PU132;perc_PU133;perc_PU134;perc_PU135;perc_PU136;perc_PU137;perc_PU138;perc_PU139;perc_PU140;perc_PU141;perc_PU142;perc_PU143;perc_PU144;perc_PU145;perc_PU146;perc_PU147;perc_PU148;perc_PU149;perc_PU150;perc_PU151;perc_PU152;perc_PU153;perc_PU154;perc_PU155;perc_PU156;perc_PU157;perc_PU158;perc_PU159;perc_PU160;perc_PU161;perc_PU162;perc_PU163;perc_PU164;perc_PU165;perc_PU166;perc_PU167;perc_PU168;perc_PU169;perc_PU170;perc_PU171;perc_PU172;perc_PU173;perc_PU174;perc_PU175;perc_PU176;perc_PU177;perc_PU178;perc_PU179;perc_PU180;perc_PU181;perc_PU182;perc_PU183;perc_PU184;perc_PU185;perc_PU186;perc_PU187;perc_PU188;perc_PU189;perc_PU190;perc_PU191;perc_PU192;perc_PU193;perc_PU194;perc_PU195;perc_PU196;perc_PU197;perc_PU198;perc_PU199;perc_PU200;perc_PU201;perc_PU202;perc_PU203;perc_PU204;perc_PU205;perc_PU206;perc_PU207;perc_PU208;perc_PU209;perc_PU210;perc_PU211;perc_PU212;perc_PU213;perc_PU214;perc_PU215;perc_PU216;perc_PU217;perc_PU218;perc_PU219;perc_PU220;perc_PU221;perc_PU222;perc_PU223;perc_PU224;perc_PU225;perc_PU226;perc_PU227;perc_PU228;perc_PU229;perc_PU230;perc_PU231;perc_PU232;perc_PU233;perc_PU234;perc_PU235;perc_PU236;perc_PU237;perc_PU238;perc_PU239;perc_PU240;perc_PU241;perc_PU242;perc_PU243;perc_PU244;perc_PU245;perc_PU246;perc_PU247;perc_PU248;perc_PU249;perc_PU250;perc_PU251;perc_PU252;perc_PU253;perc_PU254;perc_PU255;perc_PU256;perc_PU257;perc_PU258;perc_PU259;perc_PU260;perc_PU261;perc_PU262;perc_PU263;perc_PU264;perc_PU265
2021-12-01 00:00:00.0;2.9100474683544335;3.7732257355704832;1;0;0;0;0.001582;0;0.000527;0.000527;0;0;0;0;0;0.001055;0;0;0;0.000527;0;0;0;0;0;0;0.001582;0.001582;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.002637;0.001582;0.007384;0;0.001055;0;0;0.043249;0.001055;0.004747;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.023734;0;0.013186;0;0;0;0.00211;0.003165;0;0;0;0.052743;0.001055;0;0.000527;0;0;0;0;0.00211;0.001582;0;0.021097;0;0;0.000527;0;0;0;0.001582;0;0;0.025316;0;0;0;0;0;0;0.02057;0;0;0;0;0;0.015295;0.027426;0;0;0;0;0;0;0;0;0;0;0.006329;0;0;0;0;0;0;0.073312;0;0;0;0;0.015295;0.047996;0;0.010021;0.018987;0.022679;0.002637;0.02057;0.000527;0;0;0.024262;0;0;0.003692;0.000527;0;0;0;0;0;0.008966;0;0;0.035865;0.030063;0.030591;0.030591;0;0.003165;0;0;0;0.029536;0;0;0;0;0;0;0;0;0;0;0.000527;0;0;0;0;0.040612;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001055;0;0.009494;0;0;0;0;0.000527;0;0;0;0;0;0;0;0.001055;0;0;0;0;0.020042;0.03903;0.012658;0.001055;0.006329;0.033228;0;0.006857;0.021097;0.007384;0.010021;0;0;0;0;0.001055;0;0.008966;0.000527;0;0.046414;0;0;0;0;0;0.003165;0.000527;0;0;0;0;0.00211;0.001582;0.011076;0.015295;0.001582
2021-12-01 01:00:00.0;2.6458709016393414;2.974934993426143;1;0;0;0;0.001025;0;0;0;0;0;0;0;0;0;0;0;0;0.001025;0.001025;0;0;0;0;0;0.003074;0.001025;0;0;0;0;0;0;0;0;0;0;0;0.001025;0;0;0;0.003074;0.003074;0.004098;0;0.001025;0;0;0.065574;0;0.006148;0;0.001025;0;0;0;0;0;0;0;0;0;0;0;0;0.001025;0;0;0.030738;0;0;0;0;0;0.002049;0;0;0;0;0.064549;0.001025;0;0;0.001025;0;0;0;0.004098;0;0;0.027664;0;0;0;0;0;0;0.001025;0;0;0.021516;0;0;0;0;0;0;0.032787;0;0;0;0;0;0.012295;0.019467;0;0.002049;0;0;0;0;0;0;0;0;0.004098;0;0;0;0;0;0;0.092213;0;0.001025;0;0;0.017418;0.001025;0;0.007172;0.017418;0.016393;0.002049;0.014344;0;0;0;0.031762;0;0;0.003074;0;0;0;0;0;0;0.008197;0;0;0.019467;0.025615;0.023566;0.034836;0;0.004098;0;0;0;0.040984;0;0;0;0;0;0;0;0;0;0.001025;0.005123;0;0;0;0;0.033811;0;0;0;0;0;0;0.001025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001025;0;0.006148;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001025;0;0;0.028689;0.039959;0.029713;0.001025;0.010246;0.031762;0;0.008197;0.017418;0.004098;0.008197;0;0;0;0;0;0;0.006148;0;0;0.053279;0;0;0;0;0;0;0;0;0;0;0;0.005123;0;0.020492;0.008197;0
2021-12-01 02:00:00.0;1.8900883002207514;2.1228701958179204;1;0;0;0;0;0;0;0.004415;0;0;0;0;0;0.002208;0;0;0;0;0;0;0;0;0;0;0;0.002208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.002208;0.002208;0;0;0;0;0.07947;0;0.015453;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.033113;0;0;0;0;0;0.002208;0.00883;0;0;0;0.06181;0.002208;0;0;0;0;0;0;0.004415;0;0;0.039735;0;0;0;0;0;0;0;0;0;0.03532;0;0;0;0;0;0;0.02649;0;0;0;0;0;0.024283;0.04415;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.004415;0;0;0;0;0.011038;0;0;0.004415;0.028698;0.011038;0.004415;0.013245;0;0.002208;0;0.01766;0;0;0.002208;0.002208;0;0;0;0;0;0.015453;0;0;0.013245;0.019868;0.00883;0.024283;0;0.002208;0;0;0;0.028698;0;0;0;0;0;0;0;0;0.002208;0;0;0;0;0;0;0.055188;0;0;0;0;0;0;0.002208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.002208;0;0.00883;0;0;0;0;0;0;0;0;0;0;0;0;0.004415;0;0;0;0;0.024283;0.046358;0.02649;0;0.006623;0.022075;0;0;0.011038;0.00883;0.019868;0;0;0;0;0;0;0.022075;0;0;0.075055;0;0;0;0;0;0;0;0;0;0;0;0.002208;0;0.033113;0.015453;0.006623
2021-12-01 03:00:00.0;2.28062015503876;3.085444112711512;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.003876;0;0;0;0.003876;0;0;0.085271;0;0.023256;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.027132;0;0;0;0.003876;0;0.007752;0.011628;0;0;0;0.062016;0;0;0;0;0;0;0;0.007752;0;0;0.034884;0;0;0;0;0;0;0;0;0;0.027132;0;0;0;0;0;0;0.034884;0;0;0;0;0;0.003876;0.027132;0;0;0;0;0;0;0;0;0;0;0.003876;0;0;0;0.003876;0;0;0.077519;0;0;0;0;0.007752;0;0;0.011628;0.023256;0.01938;0.003876;0.007752;0;0.003876;0;0.023256;0;0;0;0;0;0;0;0;0;0.003876;0.003876;0;0.007752;0.01938;0.01938;0.027132;0;0.011628;0.003876;0;0;0.007752;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.05814;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.003876;0;0;0;0;0;0;0;0;0;0.003876;0;0;0;0;0;0;0.003876;0;0;0.034884;0.03876;0.034884;0;0.01938;0.015504;0;0.003876;0;0.007752;0.011628;0;0;0;0;0;0;0.011628;0;0;0.054264;0;0;0;0;0;0;0;0;0;0;0.003876;0.007752;0;0.015504;0.011628;0.003876
2021-12-01 04:00:00.0;2.2781481481481483;3.205775152348166;1;0;0;0;0.003704;0;0;0.003704;0;0;0.003704;0;0;0;0;0;0;0;0;0;0;0;0;0;0.003704;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.003704;0.011111;0.003704;0;0;0;0;0;0.103704;0;0.011111;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.022222;0;0;0;0;0;0.011111;0.007407;0;0;0;0.077778;0.003704;0;0;0;0;0;0;0;0;0;0.003704;0;0;0;0;0;0;0;0;0;0.048148;0;0;0;0;0;0;0.011111;0;0;0;0;0;0.003704;0.011111;0;0;0;0;0;0;0;0;0;0;0.007407;0;0;0;0;0;0.003704;0.051852;0;0;0.003704;0;0.007407;0.007407;0;0.011111;0.037037;0.007407;0;0.011111;0;0.014815;0;0.014815;0;0;0.003704;0;0;0;0;0;0;0;0;0;0.011111;0.02963;0.014815;0.025926;0;0;0;0;0;0.022222;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.051852;0;0;0;0;0.003704;0.003704;0.003704;0;0;0;0.003704;0;0;0;0;0;0;0;0;0;0;0;0;0;0.007407;0;0;0;0;0.003704;0;0;0;0;0;0;0;0;0;0.011111;0;0;0.025926;0.025926;0.011111;0.007407;0.018519;0.007407;0;0.018519;0.007407;0.033333;0.014815;0;0;0;0;0;0;0.003704;0;0;0.044444;0;0;0;0;0;0;0.003704;0;0;0;0;0.007407;0.018519;0.022222;0.007407;0
2021-12-01 05:00:00.0;3.084640522875814;4.051176956323742;1;0.001634;0;0;0.003268;0;0;0.001634;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001634;0.001634;0;0;0;0;0.001634;0;0;0;0;0;0;0;0.001634;0.001634;0;0;0.001634;0;0.00817;0;0;0;0;0.119281;0;0.006536;0.003268;0;0;0;0;0.001634;0;0;0;0;0.001634;0;0;0;0;0;0;0.017974;0;0;0;0;0;0.004902;0.009804;0;0.001634;0;0.014706;0;0.001634;0;0;0;0;0;0.001634;0.003268;0;0.003268;0;0;0;0;0;0;0;0;0;0.062092;0;0;0;0;0;0;0.031046;0;0;0;0;0;0.003268;0.001634;0;0;0;0;0;0;0;0;0;0;0.003268;0;0;0;0;0;0;0.102941;0;0;0;0;0.003268;0.003268;0;0.01634;0.039216;0.017974;0.004902;0;0.003268;0.003268;0;0.003268;0.001634;0;0.014706;0;0;0;0.001634;0;0;0.003268;0;0;0.00817;0.03268;0.013072;0.00817;0;0.004902;0;0;0;0.031046;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.076797;0;0;0;0;0;0;0.00817;0;0;0.001634;0;0;0;0;0;0;0;0;0;0;0;0;0.001634;0;0.003268;0;0;0;0;0;0;0;0;0;0;0;0;0.001634;0;0;0;0;0.00817;0.04085;0.006536;0.003268;0.014706;0.001634;0;0.029412;0.034314;0.035948;0.02451;0;0;0;0.001634;0;0;0.001634;0;0;0.00817;0;0;0;0;0;0;0.001634;0;0;0;0.001634;0.001634;0.011438;0.037582;0.00817;0
2021-12-01 06:00:00.0;2.7494027711418947;3.539299141055697;1;0;0;0;0;0;0;0.000478;0;0;0.000956;0;0.000478;0.004778;0;0;0;0;0;0;0;0;0;0;0.003822;0.000478;0;0;0;0;0;0;0;0.001911;0;0;0;0;0;0;0.000956;0.0043;0.002389;0.005256;0;0.000956;0;0;0.061156;0;0.004778;0.000478;0.000478;0;0;0.000478;0;0;0;0;0;0;0.000478;0;0;0;0.000478;0;0.0215;0;0;0;0.000478;0;0.004778;0.010989;0;0;0;0.0129;0;0;0.000478;0;0;0;0;0.002389;0.000956;0;0.010511;0;0;0;0;0;0;0;0;0;0.048256;0;0;0;0;0;0;0.026756;0;0;0;0;0.000478;0.008122;0.0043;0;0.001911;0;0;0;0;0;0;0;0;0.007645;0;0;0;0;0;0;0.126135;0;0.000478;0;0;0.010033;0.002389;0;0.019111;0.029145;0.0172;0.011945;0.001433;0.000478;0.000478;0;0.001911;0;0;0.010511;0.002389;0;0;0;0;0;0.002867;0;0;0.015767;0.040612;0.010989;0.006689;0;0.0043;0;0.000478;0;0.026278;0;0;0;0.000956;0;0;0;0;0.000956;0;0;0;0;0;0;0.100334;0;0.000478;0;0;0;0;0.000478;0;0;0;0;0;0;0.000478;0;0;0;0;0.000478;0;0;0;0.001433;0.000478;0;0;0.000478;0;0;0;0;0;0;0;0;0;0.000478;0.000478;0;0.003822;0;0;0.020067;0.011945;0.0086;0.000478;0.010989;0.010033;0;0.046823;0.031056;0.0258;0.029145;0;0.000478;0.000956;0;0.002389;0;0.003344;0;0;0.019589;0;0;0;0;0;0;0;0;0;0;0.001433;0.001911;0.028189;0.027234;0.008122;0.000956
2021-12-01 07:00:00.0;2.488591450595654;2.7035083042297168;1;0;0;0;0.000234;0;0;0.000701;0;0;0.000701;0;0.000234;0.006073;0;0;0;0;0;0;0;0;0;0;0.006307;0.000234;0;0;0;0.000234;0;0;0;0.001402;0;0.000234;0;0;0;0.000467;0.000701;0.008876;0.003504;0.012147;0;0.000467;0;0;0.040411;0.000234;0.007942;0;0.000934;0;0;0;0;0;0;0;0;0.000467;0;0;0;0.001168;0.000234;0;0.017753;0.000234;0.002569;0;0;0;0.005139;0.010278;0;0.000234;0;0.01168;0;0;0.000467;0;0;0;0;0.003504;0.002102;0.000467;0.010278;0;0;0;0;0;0;0.000467;0;0;0.026629;0;0.000234;0;0;0;0;0.024761;0;0;0;0;0;0.01495;0.004205;0;0.003737;0;0;0;0;0.000234;0;0;0;0.004205;0;0;0;0;0;0;0.03971;0;0.000234;0;0;0.01168;0.017519;0;0.035039;0.035506;0.028498;0.012847;0.003504;0.000701;0.001168;0.000234;0.002569;0;0;0.017986;0.000934;0;0;0;0;0;0.007008;0;0;0.019855;0.031068;0.013081;0.009577;0;0.007708;0.000234;0.000234;0;0.035039;0;0;0;0;0.000234;0;0;0;0;0;0;0;0.000234;0;0;0.068676;0;0;0;0;0.000234;0;0.001168;0;0;0.000234;0;0;0;0;0;0;0;0;0;0;0;0.000234;0.000934;0;0.003971;0;0;0;0;0;0;0;0;0;0;0;0.000234;0.003504;0.000234;0.00327;0;0;0.025461;0.015884;0.014716;0.000467;0.017286;0.017753;0;0.060733;0.055127;0.03317;0.024994;0;0;0;0;0.001869;0;0.006774;0;0;0.013782;0;0;0;0;0;0;0;0;0;0;0.000701;0.001869;0.025228;0.024761;0.006073;0.000234
2021-12-01 08:00:00.0;2.429980126467924;2.4460342470482512;1;0;0;0;0.000723;0;0;0.000542;0;0.000181;0.000181;0;0.000361;0.007769;0;0;0;0.000361;0;0;0;0;0;0;0.004336;0.000361;0.000181;0;0.000181;0.000181;0;0;0;0.000181;0;0;0;0.000181;0;0;0.000723;0.003794;0.001084;0.017525;0;0.001084;0;0;0.028365;0.000361;0.008672;0;0.000903;0;0;0;0;0;0;0;0;0.000361;0.000181;0;0;0.000723;0.000181;0;0.019874;0.000181;0.002891;0.000181;0;0;0.003613;0.009395;0;0;0;0.013911;0;0;0.000181;0;0;0;0;0.005059;0.001807;0;0.017344;0;0;0;0;0;0;0;0;0;0.016802;0;0;0;0;0;0;0.023668;0;0;0;0;0;0.014273;0.00542;0;0.002168;0;0;0;0;0;0;0;0;0.007046;0;0.000361;0;0;0;0;0.019151;0;0;0.000181;0;0.015537;0.026197;0;0.033966;0.031978;0.029991;0.021319;0.004697;0.001084;0.000542;0;0.005059;0;0;0.012105;0.000903;0;0;0;0;0;0.007227;0;0;0.025836;0.034146;0.017886;0.018248;0;0.009395;0.000181;0;0.000181;0.034327;0;0;0;0;0;0;0;0;0;0;0.000361;0.000181;0;0;0;0.045167;0;0;0;0;0;0;0.000361;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001987;0.000181;0.003433;0;0;0;0;0.000361;0;0;0.000181;0;0;0;0.000181;0.000181;0;0.001626;0;0;0.031436;0.019512;0.014634;0.001265;0.015357;0.020777;0;0.068473;0.061789;0.029449;0.028184;0;0;0;0.000361;0.001265;0;0.011021;0.000181;0;0.014273;0;0;0;0;0;0;0;0;0;0;0.000361;0.002891;0.019874;0.022764;0.007588;0.000361
2021-12-01 09:00:00.0;2.4879933333333275;2.5927718727813853;1;0.000167;0;0;0.000333;0;0;0.001167;0;0;0.000167;0;0.000167;0.004833;0;0;0;0;0.000167;0;0;0;0.000167;0;0.0035;0.0005;0;0;0;0;0;0;0;0.000333;0;0.000167;0;0;0;0;0;0.003333;0.001;0.018167;0;0.001;0;0;0.029667;0.000167;0.007833;0.000333;0.000667;0;0;0.000167;0;0;0;0;0;0.000167;0;0;0;0.001167;0;0;0.024;0;0.006333;0;0.000167;0;0.0025;0.0095;0.000333;0;0;0.016333;0;0;0;0;0;0;0;0.003333;0.002;0;0.017167;0;0;0;0;0;0;0.000167;0;0;0.014167;0;0;0;0;0;0;0.026;0;0;0;0;0;0.014167;0.005;0;0.001667;0;0;0;0;0;0;0;0;0.007;0;0;0;0.000333;0;0;0.020667;0;0;0;0;0.013833;0.043833;0.000167;0.0315;0.023833;0.031667;0.017167;0.003;0.000333;0.000333;0.000167;0.003;0;0;0.012;0.000333;0;0;0;0;0;0.007333;0;0;0.035167;0.036;0.021833;0.018667;0.000167;0.005167;0;0;0.000167;0.0455;0;0;0;0;0;0;0;0;0.000167;0;0.000167;0;0;0;0.000167;0.0425;0;0;0;0;0.000167;0.000167;0.001;0.000167;0.000167;0;0;0;0;0;0;0;0;0;0.000167;0;0;0;0.001833;0.000333;0.003333;0;0;0;0.000167;0.000167;0;0;0;0.000167;0;0;0.000333;0.001667;0;0.000833;0;0;0.024667;0.026;0.010833;0.000333;0.0145;0.018833;0;0.0655;0.0595;0.027;0.023;0;0;0;0.000167;0.000667;0;0.009;0.000167;0;0.015833;0;0;0;0;0;0;0;0;0;0;0.000167;0.003167;0.021667;0.019833;0.008167;0
