day;location1;location2;location3;location4;location5;trips1;trips2;trips3;trips4;trips5;meanPassengers1;meanPassengers2;meanPassengers3;meanPassengers4;meanPassengers5;meanFareAmount1;meanFareAmount2;meanFareAmount3;meanFareAmount4;meanFareAmount5;stDevFareAmount1;stDevFareAmount2;stDevFareAmount3;stDevFareAmount4;stDevFareAmount5
2021-12-01;Manhattan - Upper East Side North;Manhattan - Upper East Side South;Manhattan - Midtown Center;Manhattan - Midtown East;Manhattan - Murray Hill;6007.0;5757.0;4921.0;3927.0;3780.0;1.3662;1.3493;1.354;1.3422;1.3423;10.0374;9.7689;12.382;12.3029;11.5305;6.4726;6.3992;9.2885;9.229;10.098
2021-12-02;Manhattan - Upper East Side North;Manhattan - Upper East Side South;Manhattan - Midtown Center;Manhattan - Midtown East;Manhattan - Times Sq/Theatre District;6157.0;5877.0;5568.0;3907.0;3856.0;1.3812;1.3806;1.4019;1.3878;1.5192;10.1123;10.0695;12.5784;12.3623;16.1763;6.1638;6.79;9.2579;9.7452;14.3453
2021-12-03;Manhattan - Upper East Side North;Manhattan - Upper East Side South;Manhattan - Midtown Center;Manhattan - Times Sq/Theatre District;Manhattan - Upper West Side South;6115.0;5744.0;5077.0;4231.0;3919.0;1.3902;1.3821;1.4333;1.6098;1.4404;9.8465;9.3962;12.2071;15.3118;11.158;6.3223;5.8085;9.6375;13.1431;8.3466
2021-12-04;Manhattan - Upper East Side South;Manhattan - Upper East Side North;Manhattan - Clinton East;Manhattan - Lincoln Square East;Manhattan - East Village;4835.0;4711.0;3946.0;3882.0;3798.0;1.4563;1.4326;1.5355;1.4843;1.5124;9.4502;9.7295;13.9056;10.7072;11.5963;6.6945;6.9821;11.5019;7.4674;7.6498
2021-12-05;Manhattan - Upper East Side North;Manhattan - Upper East Side South;Manhattan - Clinton East;Manhattan - Lincoln Square East;Manhattan - Upper West Side South;4226.0;3493.0;3388.0;3180.0;3100.0;1.4614;1.4595;1.5038;1.4843;1.4903;9.9094;9.5517;13.7165;10.9869;11.3553;7.2251;7.9611;13.127;8.229;8.9622
2021-12-06;Manhattan - Upper East Side North;Manhattan - Upper East Side South;Manhattan - Midtown Center;Manhattan - Times Sq/Theatre District;Manhattan - Midtown East;5658.0;5147.0;4686.0;3443.0;3290.0;1.3888;1.3781;1.4003;1.5208;1.3815;9.6229;9.4394;12.0377;15.4498;11.9502;7.0748;6.5706;9.9359;14.3126;10.0843
2021-12-07;Manhattan - Upper East Side North;Manhattan - Upper East Side South;Manhattan - Midtown Center;Manhattan - Midtown East;Manhattan - Murray Hill;6498.0;6294.0;5747.0;3939.0;3829.0;1.3481;1.358;1.3718;1.3105;1.3688;9.9814;9.475;12.0181;11.821;11.3061;6.0825;6.0445;8.9605;8.8991;10.0483
2021-12-08;Manhattan - Upper East Side North;Manhattan - Upper East Side South;Manhattan - Midtown Center;Manhattan - Midtown East;Manhattan - Murray Hill;6442.0;6345.0;5731.0;4099.0;3965.0;1.3358;1.3436;1.3505;1.3269;1.3311;10.0397;9.9201;12.7706;12.2654;11.5928;6.441;6.3286;9.3929;9.1205;9.2562
2021-12-09;Manhattan - Upper East Side North;Manhattan - Upper East Side South;Manhattan - Midtown Center;Manhattan - Midtown East;Manhattan - Murray Hill;6533.0;6516.0;5687.0;4112.0;3959.0;1.3738;1.3533;1.397;1.3592;1.3329;10.0291;10.1131;13.018;12.4168;12.0845;6.3549;6.3226;9.7753;9.3714;9.3183
2021-12-10;Manhattan - Upper East Side North;Manhattan - Upper East Side South;Manhattan - Midtown Center;Manhattan - Murray Hill;Manhattan - Lincoln Square East;5959.0;5338.0;4653.0;3794.0;3659.0;1.3816;1.3855;1.4406;1.4157;1.4086;10.146;10.1982;12.8333;12.495;11.0487;6.7078;6.6089;10.1266;10.4365;7.9887
2021-12-11;Manhattan - Upper East Side North;Manhattan - Upper East Side South;Manhattan - East Village;Manhattan - Lincoln Square East;Manhattan - Clinton East;4668.0;4393.0;3986.0;3840.0;3838.0;1.4758;1.473;1.5231;1.5112;1.5185;9.8611;9.5115;11.5839;10.9795;14.121;7.5113;6.9125;7.8886;8.2643;13.5349
2021-12-12;Manhattan - Upper East Side North;Manhattan - Upper East Side South;Manhattan - Lincoln Square East;Manhattan - Upper West Side South;Manhattan - Clinton East;3932.0;3545.0;3061.0;3041.0;2996.0;1.4657;1.4669;1.459;1.4337;1.5457;9.7012;9.7978;10.9031;11.1449;13.4108;7.2118;7.5673;8.0546;8.4588;12.6529
2021-12-13;Manhattan - Upper East Side North;Manhattan - Upper East Side South;Manhattan - Midtown Center;Manhattan - Midtown East;Manhattan - Murray Hill;5946.0;5402.0;4630.0;3306.0;3223.0;1.367;1.373;1.4177;1.3742;1.3534;9.7529;9.2521;11.6957;12.0243;11.4565;6.4214;5.8569;9.1369;9.8544;9.681
2021-12-14;Manhattan - Upper East Side North;Manhattan - Upper East Side South;Manhattan - Midtown Center;Manhattan - Midtown East;Manhattan - Murray Hill;6184.0;6028.0;5185.0;3744.0;3536.0;1.3643;1.3429;1.3659;1.3138;1.366;9.5944;9.6308;11.6413;11.5078;11.1338;5.9264;6.4654;8.4331;8.8094;8.7867
2021-12-15;Manhattan - Upper East Side North;Manhattan - Upper East Side South;Manhattan - Midtown Center;Manhattan - Murray Hill;Manhattan - Lincoln Square East;6236.0;6033.0;5071.0;3740.0;3691.0;1.3799;1.3622;1.3662;1.3559;1.3701;9.7775;9.5758;11.5813;11.2287;10.5214;6.5031;6.2588;8.69;8.9166;7.3923
2021-12-16;Manhattan - Upper East Side North;Manhattan - Upper East Side South;Manhattan - Midtown Center;Manhattan - Midtown East;Manhattan - Times Sq/Theatre District;6369.0;5902.0;5070.0;3839.0;3692.0;1.3693;1.3743;1.3803;1.3795;1.5081;9.7709;9.4692;11.9556;11.8118;15.0207;6.1637;5.9424;9.4023;9.5769;13.2543
2021-12-17;Manhattan - Upper East Side North;Manhattan - Upper East Side South;Manhattan - Midtown Center;Manhattan - Times Sq/Theatre District;Manhattan - Lincoln Square East;5715.0;5164.0;4452.0;3799.0;3541.0;1.389;1.3972;1.4993;1.6165;1.4502;9.6067;9.1045;11.8541;15.96;10.651;6.4055;5.9548;9.1235;14.2196;8.0203
2021-12-18;Manhattan - Upper East Side North;Manhattan - Upper East Side South;Manhattan - Times Sq/Theatre District;Manhattan - Midtown Center;Manhattan - Clinton East;4192.0;4052.0;4040.0;3680.0;3530.0;1.4723;1.4504;1.7116;1.6383;1.5666;9.3406;8.852;14.3694;11.7376;12.7657;6.4412;6.9352;12.4693;8.9867;11.6981
2021-12-19;Manhattan - Upper East Side North;Manhattan - Times Sq/Theatre District;Manhattan - Clinton East;Manhattan - Upper East Side South;Manhattan - Lincoln Square East;3344.0;3181.0;3020.0;3009.0;2818.0;1.4647;1.7089;1.6169;1.443;1.4947;9.3255;14.2217;12.832;8.778;10.2818;6.8815;11.881;11.8756;6.5671;8.5003
2021-12-20;Manhattan - Upper East Side North;Manhattan - Upper East Side South;Manhattan - Midtown Center;Manhattan - Times Sq/Theatre District;Manhattan - Midtown East;4527.0;4118.0;3569.0;2997.0;2652.0;1.3861;1.3898;1.4643;1.631;1.4695;9.1312;8.7125;10.4422;13.284;10.6059;5.9552;5.6876;8.1382;12.3572;9.0528
2021-12-21;Manhattan - Upper East Side North;Manhattan - Upper East Side South;Manhattan - Midtown Center;Manhattan - Times Sq/Theatre District;Manhattan - Midtown East;4425.0;4350.0;3661.0;2704.0;2621.0;1.3792;1.3761;1.4542;1.6664;1.4208;9.082;8.7419;10.3856;12.7876;10.7185;6.1233;5.6897;7.7284;11.9221;9.1563
2021-12-22;Manhattan - Upper East Side North;Manhattan - Upper East Side South;Manhattan - Midtown Center;Manhattan - Times Sq/Theatre District;Manhattan - Murray Hill;4228.0;4096.0;3483.0;2771.0;2711.0;1.3907;1.3699;1.4884;1.6463;1.4139;9.0147;8.7103;10.546;12.953;10.4813;6.1648;5.8789;8.0083;11.7347;12.8581
2021-12-23;Manhattan - Upper East Side North;Manhattan - Upper East Side South;Manhattan - Midtown Center;Manhattan - Upper West Side South;Manhattan - Times Sq/Theatre District;3969.0;3763.0;3178.0;2657.0;2554.0;1.4205;1.4085;1.488;1.4215;1.6699;8.79;8.416;10.4876;9.781;13.744;6.0475;6.2043;8.4442;9.9279;12.3957
2021-12-24;Manhattan - Upper East Side North;Manhattan - Upper East Side South;Manhattan - Midtown Center;Manhattan - Times Sq/Theatre District;Manhattan - Upper West Side South;3003.0;2664.0;2535.0;2248.0;2199.0;1.4212;1.4373;1.6347;1.7051;1.4493;8.2928;8.0208;10.734;14.4787;9.1806;6.2381;5.622;8.9436;64.3329;7.3551
2021-12-25;Manhattan - Times Sq/Theatre District;Manhattan - Clinton East;Manhattan - Upper East Side North;Manhattan - Upper East Side South;Manhattan - Midtown Center;1585.0;1481.0;1200.0;1198.0;1187.0;1.7375;1.5949;1.4942;1.5701;1.7565;14.9089;14.0196;9.4731;8.5376;12.1668;14.3259;14.1172;7.7616;7.2125;11.1919
2021-12-26;Manhattan - Clinton East;Manhattan - Times Sq/Theatre District;Manhattan - Upper East Side North;Manhattan - Upper East Side South;Manhattan - Midtown Center;2010.0;1964.0;1799.0;1682.0;1670.0;1.6249;1.7755;1.4758;1.5131;1.6778;14.3937;16.8136;10.2107;9.0875;13.6105;13.1413;14.417;8.3978;6.8101;11.4197
2021-12-27;Manhattan - Times Sq/Theatre District;Manhattan - Upper East Side North;Manhattan - Midtown Center;Manhattan - Upper East Side South;Manhattan - Clinton East;2677.0;2619.0;2522.0;2486.0;2148.0;1.7426;1.407;1.5987;1.4091;1.5917;13.3793;9.8177;11.0269;8.6909;13.6678;12.6122;8.4697;9.6158;7.1208;13.8415
2021-12-28;Manhattan - Upper East Side North;Manhattan - Midtown Center;Manhattan - Times Sq/Theatre District;Manhattan - Upper East Side South;Manhattan - Clinton East;2870.0;2867.0;2746.0;2658.0;2233.0;1.4387;1.5971;1.7651;1.4199;1.5298;9.6411;11.3504;13.4394;8.6257;12.9074;7.4518;9.7962;11.9418;6.4093;12.0446
2021-12-29;Manhattan - Midtown Center;Manhattan - Upper East Side North;Manhattan - Upper East Side South;Manhattan - Times Sq/Theatre District;Manhattan - Clinton East;2752.0;2667.0;2660.0;2622.0;2373.0;1.6043;1.396;1.4177;1.7033;1.5525;10.916;9.5725;9.037;13.3225;13.2182;9.2239;7.6805;7.3831;12.2449;12.5351
2021-12-30;Manhattan - Upper East Side North;Manhattan - Midtown Center;Manhattan - Upper East Side South;Manhattan - Times Sq/Theatre District;Manhattan - Clinton East;2727.0;2679.0;2600.0;2506.0;2409.0;1.4305;1.5289;1.4708;1.7015;1.5567;9.5006;11.1974;8.8275;14.2517;12.3947;7.3494;9.7546;7.21;12.7297;11.4682
2021-12-31;Manhattan - Clinton East;Manhattan - Upper East Side North;Manhattan - Upper East Side South;Manhattan - Midtown Center;Manhattan - Upper West Side South;2575.0;2490.0;2328.0;2304.0;2079.0;1.5553;1.4406;1.4652;1.5977;1.4622;12.6192;9.2639;8.5151;12.0408;10.8216;11.1299;8.0334;6.9455;11.6862;11.5433
