day;location1;location2;location3;location4;location5;trips1;trips2;trips3;trips4;trips5;meanPassengers1;meanPassengers2;meanPassengers3;meanPassengers4;meanPassengers5;meanFareAmount1;meanFareAmount2;meanFareAmount3;meanFareAmount4;meanFareAmount5;stDevFareAmount1;stDevFareAmount2;stDevFareAmount3;stDevFareAmount4;stDevFareAmount5
2021-12-01;Manhattan - Upper East Side North;Manhattan - Upper East Side South;Manhattan - Midtown Center;Manhattan - Midtown East;Manhattan - Murray Hill;6007;5757;4921;3927;3780;1.3662;1.3493;1.354;1.3422;1.3423;10.0374;9.7689;12.382;12.3029;11.5305;6.4732;6.3998;9.2895;9.2301;10.0993
2021-12-02;Manhattan - Upper East Side North;Manhattan - Upper East Side South;Manhattan - Midtown Center;Manhattan - Midtown East;Manhattan - Times Sq/Theatre District;6157;5877;5568;3907;3856;1.3812;1.3806;1.4019;1.3878;1.5192;10.1123;10.0695;12.5784;12.3623;16.1763;6.1643;6.7905;9.2587;9.7465;14.3472
2021-12-03;Manhattan - Upper East Side North;Manhattan - Upper East Side South;Manhattan - Midtown Center;Manhattan - Times Sq/Theatre District;Manhattan - Upper West Side South;6115;5744;5077;4231;3919;1.3902;1.3821;1.4333;1.6098;1.4404;9.8465;9.3962;12.2071;15.3118;11.158;6.3228;5.809;9.6384;13.1446;8.3477
2021-12-04;Manhattan - Upper East Side South;Manhattan - Upper East Side North;Manhattan - Clinton East;Manhattan - Lincoln Square East;Manhattan - East Village;4835;4711;3946;3882;3798;1.4563;1.4326;1.5355;1.4843;1.5124;9.4502;9.7295;13.9056;10.7072;11.5963;6.6952;6.9828;11.5034;7.4684;7.6508
2021-12-05;Manhattan - Upper East Side North;Manhattan - Upper East Side South;Manhattan - Clinton East;Manhattan - Lincoln Square East;Manhattan - Upper West Side South;4226;3493;3388;3180;3100;1.4614;1.4595;1.5038;1.4843;1.4903;9.9094;9.5517;13.7165;10.9869;11.3553;7.226;7.9623;13.129;8.2303;8.9637
2021-12-06;Manhattan - Upper East Side North;Manhattan - Upper East Side South;Manhattan - Midtown Center;Manhattan - Times Sq/Theatre District;Manhattan - Midtown East;5658;5147;4686;3443;3290;1.3888;1.3781;1.4003;1.5208;1.3815;9.6229;9.4394;12.0377;15.4498;11.9502;7.0754;6.5712;9.937;14.3147;10.0859
2021-12-07;Manhattan - Upper East Side North;Manhattan - Upper East Side South;Manhattan - Midtown Center;Manhattan - Midtown East;Manhattan - Murray Hill;6498;6294;5747;3939;3829;1.3481;1.358;1.3718;1.3105;1.3688;9.9814;9.475;12.0181;11.821;11.3061;6.083;6.045;8.9613;8.9003;10.0496
2021-12-08;Manhattan - Upper East Side North;Manhattan - Upper East Side South;Manhattan - Midtown Center;Manhattan - Midtown East;Manhattan - Murray Hill;6442;6345;5731;4099;3965;1.3358;1.3436;1.3505;1.3269;1.3311;10.0397;9.9201;12.7706;12.2654;11.5928;6.4415;6.3291;9.3938;9.1216;9.2574
2021-12-09;Manhattan - Upper East Side North;Manhattan - Upper East Side South;Manhattan - Midtown Center;Manhattan - Midtown East;Manhattan - Murray Hill;6533;6516;5687;4112;3959;1.3738;1.3533;1.397;1.3592;1.3329;10.0291;10.1131;13.018;12.4168;12.0845;6.3554;6.3231;9.7761;9.3725;9.3195
2021-12-10;Manhattan - Upper East Side North;Manhattan - Upper East Side South;Manhattan - Midtown Center;Manhattan - Murray Hill;Manhattan - Lincoln Square East;5959;5338;4653;3794;3659;1.3816;1.3855;1.4406;1.4157;1.4086;10.146;10.1982;12.8333;12.495;11.0487;6.7084;6.6095;10.1277;10.4379;7.9897
2021-12-11;Manhattan - Upper East Side North;Manhattan - Upper East Side South;Manhattan - East Village;Manhattan - Lincoln Square East;Manhattan - Clinton East;4668;4393;3986;3840;3838;1.4758;1.473;1.5231;1.5112;1.5185;9.8611;9.5115;11.5839;10.9795;14.121;7.5121;6.9133;7.8896;8.2654;13.5366
2021-12-12;Manhattan - Upper East Side North;Manhattan - Upper East Side South;Manhattan - Lincoln Square East;Manhattan - Upper West Side South;Manhattan - Clinton East;3932;3545;3061;3041;2996;1.4657;1.4669;1.459;1.4337;1.5457;9.7012;9.7978;10.9031;11.1449;13.4108;7.2128;7.5684;8.0559;8.4602;12.655
2021-12-13;Manhattan - Upper East Side North;Manhattan - Upper East Side South;Manhattan - Midtown Center;Manhattan - Midtown East;Manhattan - Murray Hill;5946;5402;4630;3306;3223;1.367;1.373;1.4177;1.3742;1.3534;9.7529;9.2521;11.6957;12.0243;11.4565;6.422;5.8574;9.1379;9.8559;9.6825
2021-12-14;Manhattan - Upper East Side North;Manhattan - Upper East Side South;Manhattan - Midtown Center;Manhattan - Midtown East;Manhattan - Murray Hill;6184;6028;5185;3744;3536;1.3643;1.3429;1.3659;1.3138;1.366;9.5944;9.6308;11.6413;11.5078;11.1338;5.9269;6.466;8.4339;8.8106;8.788
2021-12-15;Manhattan - Upper East Side North;Manhattan - Upper East Side South;Manhattan - Midtown Center;Manhattan - Murray Hill;Manhattan - Lincoln Square East;6236;6033;5071;3740;3691;1.3799;1.3622;1.3662;1.3559;1.3701;9.7775;9.5758;11.5813;11.2287;10.5214;6.5036;6.2593;8.6909;8.9178;7.3933
