queryName,run,average
Query1,1,22211
Query1,2,19639
Query1,3,16237
Query1,4,14341
Query1,5,18015
Query1,6,15340
Query1,7,19023
Query1,8,14639
Query1,9,16446
Query1,10,14499
Query2,1,46019
Query2,2,49778
Query2,3,46581
Query2,4,45312
Query2,5,46291
Query2,6,46777
Query2,7,46838
Query2,8,46553
Query2,9,46228
Query2,10,52492
Query3,1,19716
Query3,2,19756
Query3,3,20679
Query3,4,19071
Query3,5,19876
Query3,6,20015
Query3,7,19237
Query3,8,19479
Query3,9,18856
Query3,10,18566
QuerySQL1,1,11717
QuerySQL1,2,11136
QuerySQL1,3,11078
QuerySQL1,4,11165
QuerySQL1,5,10508
QuerySQL1,6,11087
QuerySQL1,7,10839
QuerySQL1,8,10010
QuerySQL1,9,9787
QuerySQL1,10,10998
QuerySQL2,1,24386
QuerySQL2,2,19589
QuerySQL2,3,19595
QuerySQL2,4,19612
QuerySQL2,5,20392
QuerySQL2,6,19448
QuerySQL2,7,19571
QuerySQL2,8,19382
QuerySQL2,9,19570
QuerySQL2,10,19201
QuerySQL3,1,12103
QuerySQL3,2,11907
QuerySQL3,3,11897
QuerySQL3,4,12556
QuerySQL3,5,12753
QuerySQL3,6,12566
QuerySQL3,7,12876
QuerySQL3,8,12007
QuerySQL3,9,11818
QuerySQL3,10,12581
